t,x,y,vx,vy,psi,omega,ax_true,ay_true,ax_meas,ay_meas,omega_meas,Bx_true,By_true,Bz_true,f1_plus,f1_minus,f2_plus,f2_minus,f3_plus,f3_minus,f4_plus,f4_minus
0.0,500.0,500.0,3.7962838934220358,3.253955838751416,0.7086260011973144,-8.127915228639537e-06,2.6447864676093502e-05,-3.085588441198439e-05,0.0014439010762394388,8.186229955957029e-05,-0.0005414443139258666,20752.704148502016,-7882.859313652443,44757.35409467413,2872.0125883391734,2868.1474116608265,2870.819098997873,2869.340901002127,2869.892273017553,2870.2677269824467,2871.5960396454,2868.5639603545997
0.1,500.36651907592994,500.3141590356829,3.7962865382085034,3.2539527531629746,0.7086251884057916,-1.6255869010883828e-05,5.2895779563133516e-05,-6.17119796864074e-05,-0.004784800921105606,0.002668508758737359,-0.0005133425317271921,20756.376662733237,-7885.611204908128,44763.57759591969,2872.0127039534505,2868.1472960465494,2870.819102249132,2869.340897750868,2869.8920683348592,2870.2679316651406,2871.596125462558,2868.5638745374417
0.2,500.7330377499268,500.6283166933106,3.7962944725779484,3.2539434963554785,0.7086227500235123,-3.251189160502488e-05,0.00010579175792280182,-0.00012342480038007864,0.0035966674859084645,-4.786750611889238e-05,0.0002504471812611225,20759.94444513417,-7888.275295120184,44769.84167727396,2872.0128199504475,2868.1471800495524,2870.8191017278937,2869.340898272106,2869.891866111236,2870.2681338887637,2871.5962122104224,2868.5637877895774
0.30000000000000004,501.09955562005786,500.9424715948338,3.796307696560088,3.2539280682028986,0.7086186860274706,-4.87682214006524e-05,0.00015868813396435755,-0.00018513930323704741,0.0045339154071001855,-0.0010331974576010298,0.00035517388167897107,20763.425494448893,-7890.905187612952,44776.150302470116,2872.0129358181166,2868.1470641818833,2870.8190985287583,2869.3409014712415,2869.8916651237932,2870.2683348762066,2871.596300529332,2868.563699470668
0.4,501.4660722843914,501.2566223622156,3.7963262102047413,3.253906468494831,0.7086129963792321,-6.502501259497695e-05,0.00021158510843388711,-0.00024685633162269127,-0.008864050219455083,-0.00011959510075369565,0.0008928005887042764,20767.02414851461,-7893.445539701497,44782.41483243527,2872.0130543244436,2868.1469456755563,2870.8190964973905,2869.3409035026093,2869.8914643957796,2870.2685356042202,2871.596384782386,2868.563615217614
0.5,501.83258734099684,501.57076761743684,3.7963500135817747,3.253878696936574,0.7086056810249516,-8.128241900939859e-05,0.00026448288080960225,-0.00030857672749906584,-0.005792868828918851,-0.0016435188296618256,-0.0006006883767824764,20770.533228436398,-7895.862203662182,44788.700413830986,2872.0131737235197,2868.14682627648,2870.819090674094,2869.340909325906,2869.8912667783393,2870.2687332216606,2871.5964688240474,2868.5635311759524
0.6000000000000001,502.19910038794563,501.8849059825029,3.796379106780903,3.2538447531493313,0.7085967398954303,-9.754059431266171e-05,0.00031738164999017826,-0.0003703013323153037,0.0009120571771482069,0.006836671094377718,0.0008733943844097623,20773.969957129157,-7898.295906538988,44795.03463542631,2872.013292463134,2868.146707536866,2870.8190831685206,2869.3409168314793,2869.891069268874,2870.2689307311257,2871.596555099471,2868.563444900529
0.7000000000000001,502.5656110233112,502.1990360794491,3.7964134899117727,3.253804636670111,0.708586172906089,-0.00011379969164504455,0.00037028161308905183,-0.0004320309855310178,-0.0011007848545726106,0.0008250489503404826,-0.00025745693114549674,20777.467124665418,-7900.616893166443,44801.343232114115,2872.013413590248,2868.1465864097518,2870.8190752316264,2869.3409247683735,2869.8908730201124,2870.2691269798875,2871.596638158013,2868.563361841987
0.8,502.9321188451697,502.5131565303472,3.796453163103521,3.253758346952225,0.7085739799571013,-0.0001300598648623641,0.0004231829694356648,-0.0004937665293991422,0.00034502898252548593,-0.0027566461245238072,-8.644570430262358e-05,20780.91746887767,-7902.783326159988,44807.653856948455,2872.0135364935973,2868.1464635064026,2870.819064003001,2869.3409359969987,2869.890679997438,2870.269320002562,2871.596719505963,2868.563280494037
0.9,503.2986234516004,502.8272659573112,3.79649812650566,3.253705883364231,0.7085601609331166,-0.0001463212685054449,0.00047608592049330767,-0.0005555088088371463,-0.003492020677660703,-0.008965908597776826,-0.00021083522550960002,20784.295871878203,-7905.019115580581,44814.01519398396,2872.013657930991,2868.146342069009,2870.8190519118643,2869.3409480881355,2869.8904861959113,2870.2695138040885,2871.596803961233,2868.563196038767
